Name;ISIN;Ticker;Market Index;Earliest Data;Latest Data
Amundi STOXX Europe 600 Banks UCITS ETF Acc;LU1834983477;BNK, CB5, LBNK, LYBNK;STOXX Europe 600 Banks;December 1986;November 2024
Amundi STOXX Europe 600 Banks UCITS ETF Dist;LU2082996112;INDA;STOXX Europe 600 Banks;December 1986;November 2024
iShares STOXX Europe 600 Basic Resources UCITS ETF (DE);DE000A0F5UK5;EXV6, SXPPEX;STOXX Europe 600 Basic Resources;December 1986;November 2024
Xtrackers STOXX Europe 600 Basic Resources Swap UCITS ETF 1C;LU0292100806;DXSC, XSPR;STOXX Europe 600 Basic Resources;December 1986;November 2024
Amundi STOXX Europe 600 Basic Resources UCITS ETF Acc;LU1834983550;BRES, LBRE, LYBRE;STOXX Europe 600 Basic Resources;December 1986;November 2024
Amundi STOXX Europe 600 Basic Resources UCITS ETF Dist;LU2082996385;E6BR;STOXX Europe 600 Basic Resources;December 1986;November 2024
iShares STOXX Europe 600 Food & Beverage UCITS ETF (DE);DE000A0H08H3;EXH3, SX3PEX;STOXX Europe 600 Food & Beverage;December 1986;November 2024
Xtrackers STOXX Europe 600 Food & Beverage Swap UCITS ETF 1C;LU0292105359;DXSK, XS3R;STOXX Europe 600 Food & Beverage;December 1986;November 2024
Lyxor STOXX Europe 600 Food & Beverage UCITS ETF - Acc;LU1834985845;FOO, LFOD;STOXX Europe 600 Food & Beverage;December 1986;November 2024
Lyxor STOXX Europe 600 Food & Beverage UCITS ETF - Dist;LU2082997359;DFOP, FOOD;STOXX Europe 600 Food & Beverage;December 1986;November 2024
iShares STOXX Europe 600 Health Care UCITS ETF (DE);DE000A0Q4R36;EXV4, SXDPEX;STOXX Europe 600 Health Care;December 1986;November 2024
Xtrackers STOXX Europe 600 Health Care Swap UCITS ETF 1C;LU0292103222;DXSE, XSDR;STOXX Europe 600 Health Care;December 1986;November 2024
ComStage STOXX Europe 600 Health Care UCITS ETF;LU0378435985;C068, CBHECA;STOXX Europe 600 Health Care;December 1986;November 2024
Amundi STOXX Europe 600 Healthcare UCITS ETF Acc;LU1834986900;CH5, HLT, LHTC, LYHLT;STOXX Europe 600 Health Care;December 1986;November 2024
iShares STOXX Europe 600 Industrial Goods & Services UCITS ETF (DE);DE000A0H08J9;EXH4, SXNPEX;STOXX Europe 600 Industrial Goods & Services;December 1986;November 2024
Xtrackers STOXX Europe 600 Industrial Goods Swap UCITS ETF 1C;LU0292106084;DXSL, XSNR;STOXX Europe 600 Industrial Goods & Services;December 1986;November 2024
Lyxor STOXX Europe 600 Industrial Goods & Services UCITS ETF - Acc;LU1834987890;IND, INDG, LIGS;STOXX Europe 600 Industrial Goods & Services;December 1986;November 2024
Lyxor STOXX Europe 600 Industrial Goods & Services UCITS ETF - Dist;LU2082997789;INDU, INGS;STOXX Europe 600 Industrial Goods & Services;December 1986;November 2024
iShares STOXX Europe 600 Personal & Household Goods UCITS ETF (DE);DE000A0H08N1;EXH7, SXQPEX;STOXX Europe 600 Personal & Household Goods;December 1991;November 2024
Lyxor STOXX Europe 600 Personal & Household Goods UCITS ETF - Acc;LU1834988351;LPHG, PHG;STOXX Europe 600 Personal & Household Goods;December 1991;November 2024
Lyxor STOXX Europe 600 Personal & Household Goods UCITS ETF - Dist;LU2082998324;MTDA, PHGD;STOXX Europe 600 Personal & Household Goods;December 1991;November 2024
SPDR STOXX Europe 600 SRI UCITS ETF;IE00BK5H8015;600X, ZPDX;STOXX Europe 600 SRI;March 2014;November 2024
iShares STOXX Europe 600 Technology UCITS ETF (DE);DE000A0H08Q4;EXV3, SX8PEX;STOXX Europe 600 Technology;December 1986;November 2024
Xtrackers STOXX Europe 600 Technology Swap UCITS ETF 1C;LU0292104469;DXSH, XS8R;STOXX Europe 600 Technology;December 1986;November 2024
ComStage STOXX Europe 600 Technology UCITS ETF;LU0378437098;C076, CBTECH;STOXX Europe 600 Technology;December 1986;November 2024
Amundi STOXX Europe 600 Technology UCITS ETF Acc;LU1834988518;LTUG, TNO;STOXX Europe 600 Technology;December 1986;November 2024
iShares STOXX Europe Select Dividend 30 UCITS ETF (DE);DE0002635299;EXSH;STOXX Europe Select Dividend 30;December 1998;November 2024
Amundi Stoxx Europe Select Dividend 30 UCITS ETF Dist;LU1812092168;LYSEL, SEL, SELD;STOXX Europe Select Dividend 30;December 1998;November 2024
Deka STOXX Europe Strong Growth 20 UCITS ETF;DE000ETFL037;EL4C;STOXX Europe Strong Growth 20;September 2001;November 2024
iShares Ageing Population UCITS ETF;IE00BYZK4669;2B77, AGED, AGES;STOXX Global Ageing Population;June 2011;November 2024
iShares Healthcare Innovation UCITS ETF;IE00BYZK4776;2B78, DRDR, HEAL;STOXX Global Breakthrough Healthcare;June 2011;November 2024
iShares Digital Security UCITS ETF USD (Dist);IE00BG0J4841;IS4S, SHLD, SHLG;STOXX Global Digital Security;June 2012;November 2024
iShares Digital Security UCITS ETF USD (Acc);IE00BG0J4C88;L0CK, LOCK;STOXX Global Digital Security;June 2012;November 2024
iShares Digitalisation UCITS ETF;IE00BYZK4883;2B79, DGIT, DGTL;STOXX Global Digitalisation;June 2011;November 2024
iShares Electric Vehicles and Driving Technology UCITS ETF USD (Acc);IE00BGL86Z12;ECAR, IEVD;STOXX Global Electric Vehicles & Driving Technology;June 2012;November 2024
iShares STOXX Global Select Dividend 100 UCITS ETF (DE);DE000A0F5UH1;ISPA, SDGPEX;STOXX Global Select Dividend 100;December 1998;November 2024
Xtrackers STOXX Global Select Dividend 100 Swap UCITS ETF 1D;LU0292096186;DXSB, XGDD, XGSD;STOXX Global Select Dividend 100;December 1998;November 2024
UBS ETF (CH) SXI Real Estate Funds (CHF) A-dis;CH0105994401;SRECHA;SXI Real Estate Funds Broad;January 1999;December 2023
Amundi Japan TOPIX II UCITS ETF EUR Dist;FR0010245514;JPN, JPNC, JPNL, JPNU, LYY4;TOPIX;June 2003;November 2024
Amundi Japan TOPIX II UCITS ETF JPY Dist;FR0010377028;LYJPN;TOPIX;June 2003;November 2024
Lyxor PEA Japon (TOPIX) UCITS ETF - Capi;FR0011871102;PJPN;TOPIX;June 2003;November 2024
Amundi ETF PEA Japan Topix UCITS ETF;FR0013411980;PTPXE;TOPIX;June 2003;November 2024
Amundi ETF Japan Topix UCITS ETF EUR;LU1681037609;TPXE;TOPIX;June 2003;November 2024
Amundi ETF Japan Topix UCITS ETF JPY;LU1681037781;TPXG, TPXU, TPXY;TOPIX;June 2003;November 2024
Amundi Japan TOPIX II UCITS ETF EUR Hedged Dist;FR0011475078;JPNH;TOPIX (EUR Hedged);August 2005;November 2024
Amundi ETF PEA Japan Topix UCITS ETF EUR Hedged;FR0013411998;PTPXH;TOPIX (EUR Hedged);August 2005;November 2024
Amundi Japan Topix UCITS ETF Daily Hedged EUR (C);LU1681037864;TPXH, TTPX;TOPIX (EUR Hedged);August 2005;November 2024
UBS ETF (IE) CMCI Composite SF UCITS ETF (USD) A-acc;IE00B53H0131;CCUSAS, UC14, UC15, UIQK;UBS CMCI;January 2011;November 2024
WisdomTree Emerging Markets Equity Income UCITS ETF Acc;IE00BDF12W49;DEMR, DEMS, WTD8;WisdomTree Emerging Markets High Dividend;May 2007;June 2024
WisdomTree Emerging Markets Equity Income UCITS ETF;IE00BQQ3Q067;DEM, DEMD, WTEI;WisdomTree Emerging Markets High Dividend;May 2007;June 2024
WisdomTree Emerging Markets SmallCap Dividend UCITS ETF;DE000A14ND04;WTED;WisdomTree Emerging Markets SmallCap Dividend;July 2007;June 2024
WisdomTree Emerging Markets SmallCap Dividend UCITS ETF;IE00BQZJBM26;DGSD, DGSE, WTED;WisdomTree Emerging Markets SmallCap Dividend;July 2007;June 2024
WisdomTree Global Quality Dividend Growth UCITS ETF USD;IE00BZ56RN96;GGRP, GGRW;WisdomTree Global Developed Quality Dividend Growth;March 2016;November 2021
WisdomTree Global Quality Dividend Growth UCITS ETF USD Acc;IE00BZ56SW52;GGRA, GGRG, WTEM;WisdomTree Global Developed Quality Dividend Growth;March 2016;November 2021
WisdomTree US Efficient Core UCITS ETF USD Unhedged Acc;IE000KF370H3;NTSX, WTEF;WisdomTree US Efficient Core;August 2023;June 2024
Amundi MSCI New Energy ESG Screened UCITS ETF Dist;FR0010524777;ENER, LYM9, LYNRJ, NRJ, NRJL, NRJU;World Alternative Energy CW;January 2004;December 2022
Amundi MSCI Water ESG Screened UCITS ETF Dist;FR0010527275;LYM8, LYWAT, WAT, WATL, WATU;World Water;December 2003;December 2022
Amundi PEA Eau (MSCI Water) UCITS ETF Capi;FR0011882364;AWAT;World Water;December 2003;December 2022
BNP Paribas B Pension Sustainable Balanced;BE0026480963;;Active fund;January 1996;November 2024
Star Fund Balanced;BE0026510298;;Active fund;February 1990;November 2024
Interbeurs Hermes Pensioenfonds;BE0026534538;;Active fund;March 2005;November 2024
Pricos Responsible Investing;BE0026535543;;Active fund;January 1990;November 2024
Metropolitan-Rentastro Sustainable Growth;BE0026549684;;Active fund;February 1987;November 2024
DPAM B Equities World Sustainable B;BE0058652646;;Active fund;January 1995;September 2024
VDK Pension Fund;BE0152168721;;Active fund;March 2005;November 2024
Belfius Pension Fund High Equities;BE0159537696;;Active fund;February 1990;November 2024
BNP Paribas B Strategy - Global Sustainable Dynamic Classic-Capitalisation;BE0163304539;;Active fund;April 1997;September 2024
Argenta Pension Fund;BE0172903495;;Active fund;January 2000;November 2024
Dierickx Leys Fund II Equity C;BE0935007246;;Active fund;May 2010;September 2024
Pricos Defensive Responsible Investing;BE0942006397;;Active fund;December 2003;November 2024
Belfius Pension Fund Low Equities;BE0943599804;;Active fund;March 2005;November 2024
BNP Paribas B Pension Sustainable Stability;BE0946410785;;Active fund;September 2006;November 2024
